job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,posted_on,
AWS Glue Engineer,Cognizant,3.9,31515 Reviews,3-8 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",Responsibilities As a Data Engineer - Data Governance & Architecture team you will work...,"aws glue
pyspark
aws
glue",2 Days Ago,
CN - Comms & Media - Salesforce - Consultant,Accenture,4.1,34572 Reviews,6-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru","Then, Accenture Strategy and Consulting is the right place for you to explore limitless...","Business intelligence
Visual Force
Agile
Aura
Salesforce
demandware
management consulting
intelligence",2 Days Ago,
Technical Program Manager,Paytm,3.6,4059 Reviews,6-9 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Noida, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru","Program definition and scoping, owning the program plan and the deliverables required f...","Program Management
JIRA
technical
program
technical program management
management",2 Days Ago,
Python developer working on Astronomer Airflow on AWS cloud,Hexaware Technologies,3.7,3371 Reviews,4-9 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Pune, Chennai, Bangalore/Bengaluru",Scripting experience for data transformation and job scheduling using Python Scripts in...,"Airflow
Aws Cloud
Python Development
development
python
aws
cloud",2 Days Ago,
Urgently looking For Immediate Joiner -Windows VM ware Administrator,Hexaware Technologies,3.7,3371 Reviews,4-9 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Navi Mumbai, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Roles and Responsibilities Prioritize, align and schedule OS and other infrastructure c...","Powershell
vmware
Troubleshooting
prism
uipath
vm
rpa
vsphere",2 Days Ago,
Lead Consultant,Birlasoft,3.8,1597 Reviews,5-7 Yrs,8-18 Lacs PA,"Hybrid - Mumbai (All Areas), Noida, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","2+ years of experience in working on Web API and MVC framework In azure, mostly the wor...","Web Api
asp.net
azure
query
ssis
sql
microsoft azure
oops",2 Days Ago,
Sales Executive,Arvind Limited,4.2,1923 Reviews,3-7 Yrs,Not disclosed,"Mumbai (All Areas), Dahej, Vapi, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Bangalore/Bengaluru",Freezing the exact requirement and collecting the information from customer before offe...,"Lead Generation
New Business Development
generation
development
sales executive activities
business development
sales lead generation
new business",2 Days Ago,
Sales Manager - Salaried Personal Loans,Kotak Mahindra Bank,3.9,10644 Reviews,1-6 Yrs,3.5-8.5 Lacs PA,"Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR","Job Requirements : . Qualification - Graduate from a recognized University, preferably ...","Sales
Personal Loans
sales management
spl
unsecured loans
personal
management
business loan",2 Days Ago,
Sr. Solution Architect GCP,Citiustech,3.9,818 Reviews,12-14 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",The GCP Cost Optimization engineer must proactivelycollaborate with business teams to e...,"development
cloud computing
computation
cloud
billing
automation
agile
performance",5 Days Ago,
Delivery Coordinator,NCR Corporation,4.1,1013 Reviews,4-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Executes Order Change activities in ERP. Maintain accuracy of the Scheduled Arrival Dat...,"supply chain
management
erp
delivery coordination
application
inventory
delivery
excel",6 Days Ago,
Module Lead,IGT Solutions,3.5,1443 Reviews,8-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Certifications in different technologies will be preferred . Minimum 8 years of experie...,"software development life cycle
analytics
software
troubleshooting
life cycle
debugging
development life cycle
coding",6 Days Ago,
Team Lead - Merchant Lending,Paytm,3.6,4059 Reviews,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Willingness to experiment and improve continuously Education- Graduation Should have go...,"financial services
relationship building
training
relationship
team leading
revenue generation
office
networking",6 Days Ago,
Growth Analyst - Senior Associate/Junior Manager,Paytm,3.6,4059 Reviews,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Familiarity with visualization tools like Tableau / Data Studio / Looker etc . Good pro...,"sql
management
optimization
query optimization
analytics
technology management
hive
senior",6 Days Ago,
Service Delivery Manager,AMERICAN EXPRESS,4.4,2049 Reviews,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Minimum Qualifications . Service Delivery: . A minimum of 10+ years of experience in th...,"management
rca
system design
service delivery management
design
change management
system
delivery",6 Days Ago,
GCP Architect,CitiusTech Healthcare Technology Private Limited,3.9,817 Reviews,10-18 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",The GCP Cost Optimization engineer must proactively collaborate with business teams to ...,"Cost Optimization
reporting tools
Devops
Gcp Cloud
reporting
cloud
cost
architecture",6 Days Ago,
Qliksense Developer,Cognizant,3.9,31515 Reviews,6-11 Yrs,11-21 Lacs PA,"Mumbai (All Areas), Kochi/Cochin, Kolkata, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru",Tune data loads and Qlik Sense application for efficient performance. PRIMARY SKILLS : ...,"Qlik Sense Development
qlikview
qlik
development",6 Days Ago,
Vulnerability management Analyst,Atos,4,670 Reviews,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Expert Engineer role for the VM Operations team. The role requires the resource to perf...,"senior
management
security
vulnerability management
Senior Analyst
Vulnerability",7 Days Ago,
Account Manager III,Panasonic Avionics,5,7 Reviews,7-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Assist in the management of regional budget and helps the management team establish sal...,"management
customer service
business operations
technical
customer satisfaction
sales
accounting
aviation",1 Day Ago,
Urgent Opening For Tendering Executive -Pan India,IRCLASS Systems & Solutions Pvt Ltd,3.9,100 Reviews,2-5 Yrs,Not disclosed,"Mumbai (All Areas), Kolkata, Bhopal, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Vadodara",We have an Urgent Requirement for Tendering Profile. BE / BTech (Civil) with minimum 2 ...,"Bidding
Proposals
RFP
pan
tendering",1 Day Ago,
Lead Consultant,Birlasoft,3.8,1597 Reviews,5-7 Yrs,8-18 Lacs PA,"Hybrid - Mumbai (All Areas), Noida, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","2+ years of experience in working on Web API and MVC framework In azure, mostly the wor...","Web Api
asp.net
azure
query
ssis
sql
microsoft azure
oops",2 Days Ago,
Sales Executive,Arvind Limited,4.2,1923 Reviews,3-7 Yrs,Not disclosed,"Mumbai (All Areas), Dahej, Vapi, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Bangalore/Bengaluru",Freezing the exact requirement and collecting the information from customer before offe...,"Lead Generation
New Business Development
generation
development
sales executive activities
business development
sales lead generation
new business",2 Days Ago,
Sales Manager - Salaried Personal Loans,Kotak Mahindra Bank,3.9,10644 Reviews,1-6 Yrs,3.5-8.5 Lacs PA,"Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR","Job Requirements : . Qualification - Graduate from a recognized University, preferably ...","Sales
Personal Loans
sales management
spl
unsecured loans
personal
management
business loan",2 Days Ago,
Sr.Manager/Manager - SAP MM,Tata Chemicals,4.2,1638 Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Should be well versed in Materials Management module of SAP ERP environment and SAP S4 ...,"mm
sap implementation
warehouse
change management
sap
modeling
sap ecc
data modeling",3 Days Ago,
Medical Writing Quality Reviewer,Pfizer,4.1,1507 Reviews,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","At minimum Bachelor degree, preferably in a life science disciplineAdvanced degree pref...","improvement
pharmaceutical
process improvement
word
publishing
clinical
medical
microsoft",3 Days Ago,
Sr.Manager/Manager - SAP SD,Tata Chemicals,4.2,1638 Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Should be well versed in Sales & Distribution module of SAP ERP environment and SAP S4 ...,"sd
ecc
erp
management
supply chain
modeling
data modeling
sap sd",3 Days Ago,
Sr.Manager/Manager - SAP FICO,Tata Chemicals,4.2,1638 Reviews,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Should be well versed in FICO and its sub-modules of SAP ERP environment and SAP S4 HAN...,"fico
sap fico
analytics
data
ecc
sap
operations
change",3 Days Ago,
Senior Associate - HR Business Partner,BNP Paribas,3.9,808 Reviews,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Coordinate with various teams for smooth delivery with regard to payroll information li...,"hr policies
analytical
policies
management
retail
retail banking
senior
analytics",3 Days Ago,
Sr. Resident Engineer - Service Provider,Juniper Networks,4.3,214 Reviews,8-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Bachelor degree in engineering with 8+ of experience with relevant network troubleshoot...,"ipv
ospf
mpls
python
ethernet
networking
sr
network design",3 Days Ago,
Quality League Leader,Schneider Electric,4.2,4213 Reviews,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Bachelor s degree or above in Engineering or similar Expertise . Minimum 10 years Quali...,"supply chain
focus
management
training
quality assurance
control
leadership
quality management",3 Days Ago,
Mulesoft Developer || Mar-25 virtual drive,HCLTech,3.8,19966 Reviews,5-10 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR",Preferred Location: CTC: ECTC: Notice period : Interview date: Mar-25 2023 SaturdayExpe...,"mulesoft
ci/cd
development
raml
pipeline
esb
mulesoft anypoint
mulesoft anypoint platform",3 Days Ago,
Sr. Salesforce Marketing Cloud Developer,eClerx,3.6,3312 Reviews,5-10 Yrs,15-25 Lacs PA,"Hybrid - Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Desired Skills and Experience: . 5+ years of hands on experience working on Salesforce ...,"Salesforce Marketing Cloud
Consulting And Implementation
Consultative Skills
Ampscript
salesforce
automation
sfmc
development",3 Days Ago,
Talend Developer,Cognizant,3.9,31515 Reviews,6-11 Yrs,Not disclosed,"Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",Greetings from Cognizant!!!We are hiring for Permanent Position with Cognizant.JD: Hand...,"Talend Big Data
Talend Etl
Talend
Tmap
etl
talend development
procedures
sql queries",3 Days Ago,
Sap Ibp Consultant,NTT DATA Business Solutions Private Limited,4,4571 Reviews,4-9 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",possess good understanding of business needs and leading thoughtful design discussions ...,"SAP APO
Sap Ibp
Integrated Business Planning
Cpi-Ds
sap
apo
planning
integration",3 Days Ago,
Sales Manager - Salaried Personal Loans,Kotak Mahindra Bank,3.9,10644 Reviews,1-6 Yrs,3.5-8.5 Lacs PA,"Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR","Job Requirements : . Qualification - Graduate from a recognized University, preferably ...","Sales
Personal Loans
sales management
spl
unsecured loans
personal
management
business loan",2 Days Ago,
Sr.Manager/Manager - SAP MM,Tata Chemicals,4.2,1638 Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Should be well versed in Materials Management module of SAP ERP environment and SAP S4 ...,"mm
sap implementation
warehouse
change management
sap
modeling
sap ecc
data modeling",3 Days Ago,
Medical Writing Quality Reviewer,Pfizer,4.1,1507 Reviews,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","At minimum Bachelor degree, preferably in a life science disciplineAdvanced degree pref...","improvement
pharmaceutical
process improvement
word
publishing
clinical
medical
microsoft",3 Days Ago,
Sr.Manager/Manager - SAP SD,Tata Chemicals,4.2,1638 Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Should be well versed in Sales & Distribution module of SAP ERP environment and SAP S4 ...,"sd
ecc
erp
management
supply chain
modeling
data modeling
sap sd",3 Days Ago,
Sr.Manager/Manager - SAP FICO,Tata Chemicals,4.2,1638 Reviews,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Should be well versed in FICO and its sub-modules of SAP ERP environment and SAP S4 HAN...,"fico
sap fico
analytics
data
ecc
sap
operations
change",3 Days Ago,
Senior Associate - HR Business Partner,BNP Paribas,3.9,808 Reviews,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Coordinate with various teams for smooth delivery with regard to payroll information li...,"hr policies
analytical
policies
management
retail
retail banking
senior
analytics",3 Days Ago,
Sr. Resident Engineer - Service Provider,Juniper Networks,4.3,214 Reviews,8-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Bachelor degree in engineering with 8+ of experience with relevant network troubleshoot...,"ipv
ospf
mpls
python
ethernet
networking
sr
network design",3 Days Ago,
Quality League Leader,Schneider Electric,4.2,4213 Reviews,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Bachelor s degree or above in Engineering or similar Expertise . Minimum 10 years Quali...,"supply chain
focus
management
training
quality assurance
control
leadership
quality management",3 Days Ago,
Mulesoft Developer || Mar-25 virtual drive,HCLTech,3.8,19966 Reviews,5-10 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR",Preferred Location: CTC: ECTC: Notice period : Interview date: Mar-25 2023 SaturdayExpe...,"mulesoft
ci/cd
development
raml
pipeline
esb
mulesoft anypoint
mulesoft anypoint platform",3 Days Ago,
Sr. Salesforce Marketing Cloud Developer,eClerx,3.6,3312 Reviews,5-10 Yrs,15-25 Lacs PA,"Hybrid - Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Desired Skills and Experience: . 5+ years of hands on experience working on Salesforce ...,"Salesforce Marketing Cloud
Consulting And Implementation
Consultative Skills
Ampscript
salesforce
automation
sfmc
development",3 Days Ago,
Talend Developer,Cognizant,3.9,31515 Reviews,6-11 Yrs,Not disclosed,"Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",Greetings from Cognizant!!!We are hiring for Permanent Position with Cognizant.JD: Hand...,"Talend Big Data
Talend Etl
Talend
Tmap
etl
talend development
procedures
sql queries",3 Days Ago,
Sap Ibp Consultant,NTT DATA Business Solutions Private Limited,4,4571 Reviews,4-9 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",possess good understanding of business needs and leading thoughtful design discussions ...,"SAP APO
Sap Ibp
Integrated Business Planning
Cpi-Ds
sap
apo
planning
integration",3 Days Ago,
RPA Ui Path Architect,Cognizant,3.9,31515 Reviews,9-14 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Must have 5+ years of experience in UiPath and capable of building solutions across web...,"RPA Uipath
Orchestrator
Studio
Robot
Re Framework
re
rpa ui path
framework",3 Days Ago,
RPA Uipath Developer,Cognizant,3.9,31515 Reviews,3-8 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",UiARD certification is mandatory Minimum 5 processes must be automated using UiPath RE ...,"Ui ARD
Uipath Orchestrator
Uipath
development
framework
rpa development
ui
orchestrator",4 Days Ago,
Technical Lead / Architect / Sr. Architect - Azure Workload Security,Wipro,3.9,24792 Reviews,8-13 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",In-depth experience on Infrastructure Security design and deployments using combination...,"Azure Security
load
technical
load balancing
architecture
technical leadership
sr
microsoft azure",4 Days Ago,
Sr. Solution Architect GCP,Citiustech,3.9,818 Reviews,12-14 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",The GCP Cost Optimization engineer must proactivelycollaborate with business teams to e...,"development
cloud computing
computation
cloud
billing
automation
agile
performance",5 Days Ago,
Service Delivery Manager,AMERICAN EXPRESS,4.4,2049 Reviews,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Minimum Qualifications . Service Delivery: . A minimum of 10+ years of experience in th...,"management
rca
system design
service delivery management
design
change management
system
delivery",6 Days Ago,
GCP Architect,CitiusTech Healthcare Technology Private Limited,3.9,817 Reviews,10-18 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",The GCP Cost Optimization engineer must proactively collaborate with business teams to ...,"Cost Optimization
reporting tools
Devops
Gcp Cloud
reporting
cloud
cost
architecture",6 Days Ago,
Qliksense Developer,Cognizant,3.9,31515 Reviews,6-11 Yrs,11-21 Lacs PA,"Mumbai (All Areas), Kochi/Cochin, Kolkata, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru",Tune data loads and Qlik Sense application for efficient performance. PRIMARY SKILLS : ...,"Qlik Sense Development
qlikview
qlik
development",6 Days Ago,
Vulnerability management Analyst,Atos,4,670 Reviews,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Expert Engineer role for the VM Operations team. The role requires the resource to perf...,"senior
management
security
vulnerability management
Senior Analyst
Vulnerability",7 Days Ago,
SERVICE DELIVERY MANAGER,Atos,4,670 Reviews,15-16 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Profile & Experience . 15+ years of experience IT Infrastructure domain . Experience of...,"service level
operations
business operations
resource
service delivery
team
business strategy
allocation",7 Days Ago,
DWP Evangelist,Atos,4,670 Reviews,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",". Based in the DWP organization, with a focus on evangelizing about the end to end Digi...","planning
focus
consulting
international clients
presales
end user support
end
french",7 Days Ago,
BA- UK Pensions,Capco,3.8,256 Reviews,7-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Ability to work with business customers to elicit their requirements, in particular bei...","financial services
management
transformation
asset
process mapping
agile
digital
mapping",7 Days Ago,
HR Business Partner,Browserstack,3.5,57 Reviews,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Manages conflict - Steps up to conflicts, seeing them as opportunities . 5-8 years of e...","accessories
hrsd
management
development
employee engagement
insurance
performance
mis",7 Days Ago,
"JLPT, Expert Japanese Language (CTH / 3rd Party Payroll)",Deloitte,4.1,11045 Reviews,2-7 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Roles and Responsibilities . 1 Ticket triaging. 2 Should be good in Japanese translatio...,"japanese translation
interpretation
jlpt
japanese language
payroll
translation
languages
japanese",7 Days Ago,
Capgemini _We Are Hiring For Java Backend developer Developer,Capgemini,3.9,21667 Reviews,6-11 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR","Roles and Responsibilities Skill Set - Java , Spring boot , Microservices/ Web services...","Backend Development
development
bootstrap
hiring
microservices
boot
for java
java development",7 Days Ago,
Solution Manager SME,Capgemini,3.9,21667 Reviews,4-6 Yrs,6-13 Lacs PA,"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Hands-on experience in ChaRM end to end configuration for different types of SAP landsc...,"Solman Installation 7.2 and upgrade
Solution Documentation
ITSM Configuration
ChaRM end to end configuration
System Monitoring
management
upgrade
configuration",Women candidates preferred,
Azure Data Engineer,Cognizant,3.9,31515 Reviews,4-8 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Delighted to be part of AI enabled Cloud Data Engineering? We at Cognizant, drive end-t...","azure data engineer
cloud
azure data factory
sql
cloud data flow
data
microsoft azure
bricks",7 Days Ago,
Aws Data Engineer,Capgemini,3.9,21667 Reviews,4-9 Yrs,6-16 Lacs PA,"Mumbai (All Areas), Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Pune","Skills required - AWS services like Lambda, Glue, EMR, Redshift, Data Warehouse, PaaS D...","DB services
Aws Cloud
Python knowledge
PaaS
Lambda
aws
python
cloud",7 Days Ago,
Sap Abap Consultant,NTT DATA Business Solutions Private Limited,4,4571 Reviews,6-10 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",. 8+ years of SAP experience requiredMust have experience in CDS viewsHands-on experien...,"abap development tools
Sap Abap Hana
SAP ABAP
development
sap
developer tools
consulting
sap hana",7 Days Ago,
Software Test Engineer,Tech Mahindra,3.8,20425 Reviews,4-8 Yrs,Not disclosed,"Mumbai (All Areas), Noida, Kolkata, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",A Software Engineer QA should have a thorough understanding of QA testing environments ...,"c#
software
core
.net core
jenkins
software testing
.net",7 Days Ago,
Azure Data engineer || PAN India || Immediate,Tech Mahindra,3.8,20425 Reviews,5-9 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",Job title Azure Data engineer . Work Location: open . Work Experience 5+ yrs,"azure databricks
sql azure
azure data factory
data
factory
pyspark
spark
pan",7 Days Ago,
Service Relationship Manager - Senior Associate,Paytm,3.6,4059 Reviews,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",". Should possess exceptional written & verbal communication skills, . . . . . . Should ...","revenue generation
financial services
sales
edc
intelligence
finance
revenue
management",20 Days Ago,
Sales Relationship Manager - Senior Associate - Paytm Money,Paytm,3.6,4059 Reviews,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",". Should possess exceptional written & verbal communication skills, . . . . . . Should ...","management
b2b sales
edc
analytical
technology management
sales
relationship
analytics",20 Days Ago,
Analyst (GSR) - Codification,Ford,4.5,2465 Reviews,0-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Prototype BOM and Material control Analyst to coordinate with CFT (Engineering, Purchas...","management
control
materials
material control
erp
program management
purchase
prototype",27 Days Ago,
Cognizant Hiring ||Medical Scribe ||Pan India,Cognizant,3.9,31515 Reviews,1-6 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR, India",Email ID: Current Location: Preferred Job Location: Current Company: Primary Skill Sets...,"medical scribe
pan
medical
hiring
summarizing
medical summarization
transcription
medical transcription",10 Days Ago,
SAP Integration Lead,Ford,4.5,2465 Reviews,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Raise issue / risk appropriately and reach for help as required during entire implement...,"sap
team leading
automation
team
leadership
sap integration
software testing
integration",13 Days Ago,
Engineer (Lean Manufacturing),Lean Synergy,4.8,7 Reviews,0-3 Yrs,2.5-5 Lacs PA (Including Variable: 10.0%),"Mumbai (All Areas)(Bhiwandi), Bangalore/Bengaluru(Harohalli)",Graduate in Engineering and minimum 2+ years of total experience . Requirement . Must h...,"Line Balancing
TOC
Lean Manufacturing Tools
KPI Analysis
Lean Manufacturing
system
jit
toyota production system",7 Days Ago,
SAP - BODS - Senior Associate 2,PwC,3.7,4513 Reviews,5-9 Yrs,Not disclosed,"Mumbai, New Delhi, Hyderabad/Secunderabad, Bangalore/Bengaluru",Having good experience in Data Migration as well as SAP BODS as added advantage. Workin...,"sap bods
process
data quality
senior
data
migration
bod
delivery",6 Days Ago,
Hiring --Java developer,Tech Mahindra,3.8,20425 Reviews,4-9 Yrs,Not disclosed,"Hybrid - Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru","Mandatory- Java, Springboot, Microservices. 4+ years of experience in Java, Spring, Bas...","java spring boot
Java Development
Spring Boot
Microservices
web technologies
spring
development
java web services",6 Days Ago,
L&D - Senior Associate,PwC,3.7,4513 Reviews,8-10 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",. Past experience of managing end to end of campus / lateral onboarding experience with...,"Training
human capital
Networking
Internal audit
Soft skills training
Manager Program Management
Campus recruitment
IFS",7 Days Ago,
Sap Sd Consultant with Wipro - Looking For Early Joiners,Wipro,3.9,24792 Reviews,5-10 Yrs,Not disclosed,"Mumbai (All Areas), Bhubaneswar, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Specialized in design and configuration of SAP Sales and Distribution (SD module). - Ha...,"SAP SD
Sap Sales And Distribution
sd
distribution
distributor sales
sap
sales and distribution
consulting",7 Days Ago,
